"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel"
"F9","Frontier Airlines Inc.",2011,850311,198889,18155,309822,0,323445,1.37867533502772,1.07199060261223,0.709630691068112,2.02455563244574,0,1.28454336249762
"F9","Frontier Airlines Inc.",2012,794945,217305,13588,276770,0,287282,1.39668166238474,1.19625403292931,0.596014580162382,2.15740774951901,0,1.21886915797127
"F9","Frontier Airlines Inc.",2013,1118193,229551,19914,446957,0,421771,1.55439293069569,1.08602033685455,0.669568781431218,2.56475834496002,0,1.39216567448513
"F9","Frontier Airlines Inc.",2014,1327023,254513,20749,533348,0,518413,1.88720186584855,1.19717815297688,0.694255536494674,3.22858693055119,0,1.75828680411711
"F9","Frontier Airlines Inc.",2015,1583839,346950,21616,581234,0,634039,2.52799968435099,1.71987684898534,0.697237917279121,4.05443393940273,0,2.54002384671282
"FL","AirTran Airways Corporation",2007,3125154,502204,37761,946465,0,1638724,3.09526206376635,1.74212641104351,0.657250502933007,3.3551315648377,0,4.31164379624007
"FL","AirTran Airways Corporation",2008,3281935,443708,36903,1029858,0,1771466,3.78810137026143,1.84507649777112,0.796401679256631,3.93503605314804,0,5.59347162550889
"FL","AirTran Airways Corporation",2009,3139671,503089,26732,948352,0,1661498,4.75665789405628,2.71850906375927,0.812429700304859,4.69010181161631,0,6.94888936204686
"FL","AirTran Airways Corporation",2010,2250331,396780,33321,684678,0,1135552,3.55741385787974,2.06468009244696,1.19635417339865,4.21882446107053,0,4.55710920023165
"FL","AirTran Airways Corporation",2011,1990102,345789,32337,639600,0,972376,3.22670710080115,1.86376601263359,1.26396737301402,4.17951527816713,0,3.86173580253827
"FL","AirTran Airways Corporation",2012,1359781,291128,10554,449045,0,609054,2.38907243590334,1.60264625341637,0.462933314618323,3.50028241096493,0,2.58407117793329
"FL","AirTran Airways Corporation",2013,1791450,389441,44578,489751,0,867680,2.49028317624488,1.84247006549731,1.498846898596,2.81032171820223,0,2.86400514126684
"FL","AirTran Airways Corporation",2014,678612,166873,20783,168921,0,322035,0.965075837108489,0.784937154179592,0.695393166657131,1.02255212899577,0,1.0922370599577
"HA","Hawaiian Airlines Inc.",2007,185243,134564,1537,971,731,47440,0.183471160294267,0.46679735401482,0.0267523111943018,0.00344210588818119,0.413120387010726,0.124819299463259
"HA","Hawaiian Airlines Inc.",2008,273111,184855,4861,931,203,82261,0.315232371553205,0.768684846780949,0.104904982328442,0.00355730456575647,0.177577941845411,0.259742252679976
"HA","Hawaiian Airlines Inc.",2009,234162,186518,1560,1393,474,44217,0.354759631116766,1.00787509477299,0.0474109805654489,0.00688912115288577,0.601324436099764,0.184928926138717
"HA","Hawaiian Airlines Inc.",2010,216374,157988,1486,1833,441,54626,0.342052731835837,0.822104638453327,0.0533532097377148,0.0112945139717389,0.410576296434224,0.219220825793847
"HA","Hawaiian Airlines Inc.",2011,210226,138703,2687,874,222,67740,0.340855758636001,0.74759444994004,0.105027687518591,0.00571122006428717,0.27288483522427,0.269025544916722
"HA","Hawaiian Airlines Inc.",2012,227971,158544,3581,3703,448,61695,0.400534521577607,0.872777429864684,0.157074493049859,0.0288646923310652,0.613261786124952,0.261757202682512
"HA","Hawaiian Airlines Inc.",2013,224531,159197,3699,3906,778,56951,0.312119105666047,0.753171101699554,0.124371543763888,0.0224136686424283,0.750595749196824,0.187981694634298
"HA","Hawaiian Airlines Inc.",2014,246849,161083,5351,8862,289,71264,0.351051860731012,0.757702154373153,0.179042911744325,0.0536455323326321,0.442234123947972,0.241704106202201
"HA","Hawaiian Airlines Inc.",2015,341192,196422,11429,6241,401,126699,0.544583930755008,0.973689725987604,0.36864971116687,0.0435344839011697,0.495153423473483,0.507568905626732
"MQ","American Eagle Airlines Inc.",2007,8509443,2007701,562622,2298159,1744,3639217,8.42805061820381,6.96463775194635,9.79273834011743,8.14676274549597,0.985611429475659,9.57513736371799
"MQ","American Eagle Airlines Inc.",2008,6676195,1705271,417169,1948506,1172,2604077,7.70585140401394,7.09104961918798,9.00290198991436,7.44514424296872,1.02522831449666,8.22247269218846
"MQ","American Eagle Airlines Inc.",2009,4842646,1333799,371160,1283549,2894,1851244,7.33669557224947,7.20736225743963,11.2801663760718,6.34782811677342,3.67137746428843,7.74246477465099
"MQ","American Eagle Airlines Inc.",2010,4777239,1389821,353543,1270102,5026,1758747,7.5520517741628,7.23205743929818,12.69357592887,7.82606916777609,4.67926636253608,7.05806703222734
"MQ","American Eagle Airlines Inc.",2011,4962075,1495670,410623,1430509,520,1624753,8.04539799327264,8.06150256982055,16.0501615675275,9.34777082716633,0.63918970412892,6.45261383495835
"MQ","American Eagle Airlines Inc.",2012,4484349,1449895,461716,1017505,2199,1553034,7.87879415058064,7.9816053062472,20.2523894535071,7.93139853370793,3.010184526091,6.58915366740955
"MQ","American Eagle Airlines Inc.",2013,6576260,1716605,643256,1577059,2348,2636992,9.14161692517913,8.12136710511481,21.6282080982384,9.04958470444428,2.26529411197191,8.70408289401567
"MQ","American Eagle Airlines Inc.",2014,1542855,390147,161617,421365,154,569572,2.19414345850356,1.83517331079147,5.40765805781771,2.55070522809067,0.235654169854629,1.93180134679221
"MQ","Envoy Air",2014,4110020,1039219,300667,1207211,5271,1557652,5.84499094037924,4.88827793848832,10.06023082516,7.30777214317413,8.06579954093344,5.28304451664334
"MQ","Envoy Air",2015,3812234,1055033,402305,930774,7049,1417073,6.0847891412398,5.22993754608893,12.9766053067624,6.49267196260652,8.70408100265481,5.67693661199528
"NK","Spirit Air Lines",2015,2162991,471115,44088,941423,5147,701218,3.45239671788233,2.33537910854512,1.42208666251859,6.5669547248343,6.35549793171575,2.80914966073738
"NW","Northwest Airlines Inc.",2007,5846678,2276303,316527,1910645,8769,1334434,5.79075482758843,7.89640778615378,5.50932257996017,6.7730611789124,4.95574921162389,3.51102691947627
"NW","Northwest Airlines Inc.",2008,3950704,1478247,309087,1301073,4516,857781,4.56001329578353,6.14701289496847,6.6703900993522,4.97133504111973,3.95045312992057,2.70847630403329
"NW","Northwest Airlines Inc.",2009,2900942,1080477,223500,912682,3756,680527,4.39497917600265,5.83850276528292,6.79253471562681,4.51369481124055,4.76492527846142,2.84617064292925
"OH","Comair Inc.",2007,3681593,1411761,821224,1212637,4564,231407,3.6463787535359,4.89734475269252,14.2938451582494,4.2986868773701,2.57931798401772,0.608854545339256
"OH","Comair Inc.",2008,3005043,1075766,672847,1091356,1282,163792,3.46850486252607,4.47337114431394,14.5206753023545,4.17001684389443,1.12145281500402,0.517179502449018
"OH","Comair Inc.",2009,2358394,772380,440540,924186,1516,219772,3.57300922211116,4.17365919482712,13.3887393450659,4.57058817071133,1.92322330195621,0.91915326583346
"OH","Comair Inc.",2010,1903634,908078,232052,613873,1015,148616,3.0093412799855,4.72526480414601,8.33157404176056,3.78254073942897,0.944977190205754,0.596414202873693
"OO","SkyWest Airlines Inc.",2007,6913905,2730247,356372,1197780,19948,2609558,6.84777385657938,9.47112210849039,6.20284622312019,4.24602017584517,11.2734958687961,6.86600340364128
"OO","SkyWest Airlines Inc.",2008,6182502,1678216,306304,1829877,12287,2355818,7.13601710510538,6.97854647602357,6.6103303244458,6.99186875066891,10.7482767066727,7.43858540771491
"OO","SkyWest Airlines Inc.",2009,4836475,992380,113241,1379022,5769,2346063,7.32734639653513,5.36245877904987,3.44158131423846,6.81999255599055,7.31865120645472,9.81194814763047
"OO","SkyWest Airlines Inc.",2010,6211607,1389117,150120,1544218,7254,3120898,9.81955846562253,7.22839411255519,5.38989491643724,9.51510735210626,6.75356112093846,12.5245457616953
"OO","SkyWest Airlines Inc.",2011,5843981,1348192,139645,1400901,6274,2948969,9.47530075827622,7.2666118011403,5.45835185096153,9.15429507926768,7.71206962250931,11.7116621223431
"OO","SkyWest Airlines Inc.",2012,5581930,1360820,109605,1277785,4660,2829060,9.8071932922595,7.49125152707424,4.80763747856181,9.96026759120986,6.37901768603187,12.0030283138178
"OO","SkyWest Airlines Inc.",2013,6517526,1694065,182183,1450952,8047,3182279,9.05997116779066,8.0147289358509,6.12554229725236,8.32594914082658,7.76355269124273,10.5039454832951
